측 정 소: ,701,광복동,,,,,,,,,,,,,,,,,,,,,,,,,
측정항목: ,1,O₃,,,,,,,,,,,,,,,,,,,,,,,,,
측정년월: , 2010년,01월,,,,,,,,,,,,,,,,,,,,,,,,,
구 분,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최소,최대,평균
10일,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.8,0.7,0.6,0.6,0.3,0.9,0.6
11일,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.9,0.6
12일,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,교정중,교정중,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.3
13일,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.5,0.3
14일,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.7,0.8,0.7,0.6,0.5,0.3,0.8,0.4
15일,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.5,0.6,0.8,0.8,0.7,0.6,0.5,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.5,0.4,0.4,0.3,0.8,0.5
16일,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.8,0.8,0.7,0.5,0.4,0.3,0.8,0.4
17일,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.6,0.7,0.7,0.7,0.6,0.6,0.3,0.7,0.4
18일,0.5,0.4,0.4,0.4,0.3,0.3,0.4,0.5,0.7,1.2,1,0.8,0.8,0.8,0.7,0.7,0.7,0.8,1.1,1.2,1.1,1.2,1,1.2,0.3,1.2,0.8
19일,1.4,1.7,1.5,1.4,1.3,1.3,1.2,1.4,1.9,2.3,2.6,2,교정중,교정중,0.5,0.6,0.6,0.6,0.6,0.5,0.4,0.4,0.3,0.3,0.3,2.6,1.1
20일,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.4,0.3,0.5,0.3
21일,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.4,0.5,0.6,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.6,0.4
22일,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2
23일,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3
24일,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.6,0.6,0.5,0.4,0.4,0.4,0.5,0.2,0.6,0.3
25일,0.6,0.7,0.5,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.7,0.4
26일,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,교정중,교정중,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.5,0.4,0.4,0.2,0.6,0.3
27일,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4
28일,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.5,0.4
